question_id,question,expected_answer,answerability,tipo,subtipo,source_idx,document_id,document_title,citation_label,section_label,official_url,support_excerpt,relevance
gt-0001,"Além das distribuidoras, a quem se aplicam as Regras de Prestação do Serviço Público de Distribuição previstas na REN 1000/2021?","Aplicam-se ao usuário, pessoa física ou jurídica, tais como consumidor, central geradora, distribuidora, agente exportador e agente importador.",corpus_supported,ato_normativo,ren,0,ren-2021-1000,"Estabelece as Regras de Prestação do Serviço Público de Distribuição de Energia Elétrica; revoga as Resoluções Normativas ANEEL nº 414, de 9 de setembro de 2010; nº 470, de 13 de dezembro de 2011; nº 901, de 8 de dezembro de 2020 e dá outras providências.","REN 1000/2021, Art. 1º, §1º","Art. 1º, §1º",https://www2.aneel.gov.br/cedoc/bren20211000.pdf,"Aplica-se à concessionária e permissionária do serviço público de distribuição de energia elétrica e ao usuário, pessoa física ou jurídica, tais como o consumidor, central geradora, distribuidora, agente exportador e agente importador.",3
gt-0002,"Para fins da REN 1000/2021, o que são bandeiras tarifárias?",São um sistema aplicado por meio da tarifa de energia com a finalidade de sinalizar aos consumidores os custos atuais da geração de energia elétrica.,corpus_supported,ato_normativo,ren,0,ren-2021-1000,"Estabelece as Regras de Prestação do Serviço Público de Distribuição de Energia Elétrica; revoga as Resoluções Normativas ANEEL nº 414, de 9 de setembro de 2010; nº 470, de 13 de dezembro de 2011; nº 901, de 8 de dezembro de 2020 e dá outras providências.","REN 1000/2021, Art. 2º","Art. 2º, definição de bandeiras tarifárias",https://www2.aneel.gov.br/cedoc/bren20211000.pdf,bandeiras tarifárias: sistema que tem como finalidade sinalizar os custos atuais da geração de energia elétrica ao consumidor por meio da tarifa de energia.,3
gt-0003,Como a REN 1000/2021 define consumidor?,"Consumidor é a pessoa física ou jurídica que solicita o fornecimento do serviço à distribuidora, assumindo as obrigações decorrentes da prestação à sua unidade consumidora.",corpus_supported,ato_normativo,ren,0,ren-2021-1000,"Estabelece as Regras de Prestação do Serviço Público de Distribuição de Energia Elétrica; revoga as Resoluções Normativas ANEEL nº 414, de 9 de setembro de 2010; nº 470, de 13 de dezembro de 2011; nº 901, de 8 de dezembro de 2020 e dá outras providências.","REN 1000/2021, Art. 2º","Art. 2º, definição de consumidor",https://www2.aneel.gov.br/cedoc/bren20211000.pdf,"consumidor: pessoa física ou jurídica que solicite o fornecimento do serviço à distribuidora, assumindo as obrigações decorrentes desta prestação à sua unidade consumidora.",3
gt-0004,Quais condições caracterizam autoconsumo remoto na REN 1000/2021?,"Autoconsumo remoto envolve unidades consumidoras de uma mesma pessoa jurídica, incluindo matriz e filial, ou de uma mesma pessoa física, quando a unidade com microgeração ou minigeração está em local diferente das unidades onde a energia excedente será compensada.",corpus_supported,ato_normativo,ren,0,ren-2021-1000,"Estabelece as Regras de Prestação do Serviço Público de Distribuição de Energia Elétrica; revoga as Resoluções Normativas ANEEL nº 414, de 9 de setembro de 2010; nº 470, de 13 de dezembro de 2011; nº 901, de 8 de dezembro de 2020 e dá outras providências.","REN 1000/2021, Art. 2º","Art. 2º, definição de autoconsumo remoto",https://www2.aneel.gov.br/cedoc/bren20211000.pdf,"autoconsumo remoto: unidades consumidoras de titularidade de uma mesma pessoa jurídica, incluídas matriz e filial, ou pessoa física que possua unidade consumidora com microgeração ou minigeração distribuída em local diferente das unidades consumidoras nas quais a energia excedente será compensada.",3
gt-0005,"Em geração distribuída, quando uma usina fotovoltaica com armazenamento pode ser considerada central geradora de fonte despachável pela REN 1000/2021?","Quando a geração fotovoltaica de até 3 MW possuir capacidade de modulação via armazenamento de energia em baterias, em quantidade de pelo menos 20% da capacidade de geração mensal da central geradora.",corpus_supported,ato_normativo,ren,0,ren-2021-1000,"Estabelece as Regras de Prestação do Serviço Público de Distribuição de Energia Elétrica; revoga as Resoluções Normativas ANEEL nº 414, de 9 de setembro de 2010; nº 470, de 13 de dezembro de 2011; nº 901, de 8 de dezembro de 2020 e dá outras providências.","REN 1000/2021, Art. 2º","Art. 2º, definição de central geradora de fonte despachável",https://www2.aneel.gov.br/cedoc/bren20211000.pdf,"central geradora de fonte despachável: ... geração fotovoltaica de até 3 MW de potência instalada, que apresentem capacidade de modulação de geração por meio do armazenamento de energia em baterias, em quantidade de, pelo menos, 20% da capacidade de geração mensal da central geradora.",3
gt-0006,O que a REN 956/2021 estabelece em relação ao PRODIST?,"A REN 956/2021 estabelece os Procedimentos de Distribuição de Energia Elétrica no Sistema Elétrico Nacional, organizados em módulos anexos.",corpus_supported,ato_normativo,ren,0,ren-2021-956,"Estabelece os Procedimentos de Distribuição de Energia Elétrica no Sistema Elétrico Nacional – PRODIST, revoga as Resoluções Normativas nº 395, de 15 de dezembro de 2009; nº 424, de 17 de dezembro de 2010; nº 432, de 5 de abril de 2011 e dá outras providências.","REN 956/2021, Art. 1º",Art. 1º,https://www2.aneel.gov.br/cedoc/bren2021956.pdf,"Estabelecer, na forma desta Resolução Normativa, os Procedimentos de Distribuição de Energia Elétrica no Sistema Elétrico Nacional - PRODIST, dispostos em módulos, conforme anexos de I a XI.",3
gt-0007,Qual é o objeto regulatório central da REN 905/2020?,A REN 905/2020 aprova as Regras dos Serviços de Transmissão de Energia Elétrica no Sistema Elétrico Nacional.,corpus_supported,ato_normativo,ren,0,ren-2020-905,Aprova as Regras dos Serviços de Transmissão de Energia Elétrica no Sistema Elétrico Nacional e dá outras providências.,"REN 905/2020, Art. 1º",Art. 1º,https://www2.aneel.gov.br/cedoc/bren2020905.pdf,"Ficam aprovadas as Regras dos Serviços de Transmissão de Energia Elétrica no Sistema Elétrico Nacional, na forma dos módulos anexos a esta Resolução.",3
gt-0008,Que processos regulatórios são consolidados pela REN 1003/2022 ao aprovar a estrutura do PRORET?,"A REN 1003/2022 aprova a estrutura e os submódulos do PRORET e consolida a regulamentação dos processos tarifários aplicáveis a concessionárias e permissionárias de distribuição, transmissão e geração de energia elétrica.",corpus_supported,ato_normativo,ren,0,ren-2022-1003,"Aprova a estrutura e os Submódulos dos Procedimentos de Regulação Tarifária – PRORET, e consolida a regulamentação acerca dos processos tarifários, aplicáveis a concessionárias e permissionários de serviços públicos de distribuição, transmissão e geração de energia elétrica, revoga as Resoluções Normativas nº 435, de 24 de maio de 2011; nº 457, de 8 de novembro de 2011; nº 478, de 3 de abril de 2012 e dá outras providências","REN 1003/2022, ementa/Art. 1º",Ementa e Art. 1º,https://www2.aneel.gov.br/cedoc/bren20221003.pdf,"Aprova a estrutura e os Submódulos dos Procedimentos de Regulação Tarifária – PRORET, e consolida a regulamentação acerca dos processos tarifários, aplicáveis a concessionárias e permissionários de serviços públicos de distribuição, transmissão e geração de energia elétrica.",3
gt-0009,Em quais ambientes de contratação a REN 1009/2022 disciplina as regras de contratação de energia?,A REN 1009/2022 estabelece regras atinentes à contratação de energia pelos agentes nos ambientes de contratação regulado e livre.,corpus_supported,ato_normativo,ren,0,ren-2022-1009,Estabelece as regras atinentes à contratação de energia pelos agentes nos ambientes de contratação regulado e livre.,"REN 1009/2022, ementa/Art. 1º",Ementa e Art. 1º,https://www2.aneel.gov.br/cedoc/bren20221009.pdf,Estabelece as regras atinentes à contratação de energia pelos agentes nos ambientes de contratação regulado e livre.,3
gt-0010,Qual instrumento de governança do mercado de energia elétrica é instituído pela REN 957/2021?,A REN 957/2021 institui a Convenção de Comercialização de Energia Elétrica.,corpus_supported,ato_normativo,ren,0,ren-2021-957,"Institui a Convenção de Comercialização de Energia Elétrica, revoga as Resoluções Normativas nº 249, de 11 de agosto de 1998; nº 271, de 19 de agosto de 1998; nº 18, de 28 de janeiro de 1999 e dá outras providências.","REN 957/2021, ementa/Art. 1º",Ementa e Art. 1º,https://www2.aneel.gov.br/cedoc/bren2021957.pdf,Institui a Convenção de Comercialização de Energia Elétrica.,3
gt-0011,Quais tipos de empreendimentos são tratados pela REN 1031/2022 para redução de TUST e TUSD?,"A REN 1031/2022 trata dos procedimentos vinculados à redução das tarifas de uso dos sistemas de transmissão e distribuição para empreendimentos hidrelétricos e aqueles com base em fonte solar, eólica, biomassa ou cogeração qualificada.",corpus_supported,ato_normativo,ren,0,ren-2022-1031,"Consolida os atos regulatórios relativos aos procedimentos vinculados à redução das tarifas de uso dos sistemas elétricos de transmissão e de distribuição, para empreendimentos hidrelétricos e aqueles com base em fonte solar, eólica, biomassa ou cogeração qualificada; e aos requisitos para a qualificação de centrais termelétricas cogeradoras de energia.","REN 1031/2022, ementa",Ementa,https://www2.aneel.gov.br/cedoc/bren20221031.pdf,"Consolida os atos regulatórios relativos aos procedimentos vinculados à redução das tarifas de uso dos sistemas elétricos de transmissão e de distribuição, para empreendimentos hidrelétricos e aqueles com base em fonte solar, eólica, biomassa ou cogeração qualificada.",3
gt-0012,Que elementos de formação de preço são consolidados pela REN 1032/2022?,A REN 1032/2022 consolida atos regulatórios relativos à elaboração do PMO e à formação do CMO e do PLD.,corpus_supported,ato_normativo,ren,0,ren-2022-1032,"Consolida os atos regulatórios relativos à elaboração do Programa Mensal da Operação Energética – PMO, e para a formação do Custo Marginal da Operação – CMO e do Preço de Liquidação de Diferenças – PLD; à atualização do valor do patamar da função de custo do déficit de energia elétrica; e aos critérios e procedimentos para o cálculo dos limites máximo e mínimo do Preço de Liquidação de Diferenças(PLD) e do valor da tarifa de energia de otimização referente à cessão de energia efetuada pelo comercializador de energia da Usina Hidroelétrica Itaipu (TEOItaipu).","REN 1032/2022, ementa",Ementa,https://www2.aneel.gov.br/cedoc/bren20221032.pdf,"Consolida os atos regulatórios relativos à elaboração do Programa Mensal da Operação Energética – PMO, e para a formação do Custo Marginal da Operação – CMO e do Preço de Liquidação de Diferenças – PLD.",3
gt-0013,Qual obrigação cadastral foi padronizada pela REN 1095/2024 para consumidores e demais usuários?,A REN 1095/2024 padroniza o número de identificação da unidade consumidora e das demais instalações dos usuários de energia elétrica.,corpus_supported,ato_normativo,ren,0,ren-2024-1095,"Estabelece a padronização do número de identificação da unidade consumidora e das demais instalações dos usuários de energia elétrica; altera as Resoluções Normativas nº 956, de 7 de dezembro de 2021, nº 1.000, de 7 de dezembro de 2021, e dá outras providências.","REN 1095/2024, ementa",Ementa,https://www2.aneel.gov.br/cedoc/bren20241095.pdf,Estabelece a padronização do número de identificação da unidade consumidora e das demais instalações dos usuários de energia elétrica.,3
